,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
1581,318,97076751,148412526,769494,282624,6870,552,103574003,37774,40.31,5.39,129.0
1582,2896,148145976,240697229,1388269,0,75917,0,163851693,49341,40.34,5.23,129.0
1583,1132,137024354,168249864,777095,0,13686,0,138278270,55128,40.34,5.1,129.0
1584,429,124463543,148539076,876010,0,2663,0,105670674,40458,40.26,5.0,129.0
1585,286,119650523,149695078,873745,0,1240,0,138872662,57486,40.28,5.05,128.9
1586,398,138170686,163678246,789600,139264,1942,272,142005978,48898,40.22,5.4,129.0
1587,3458,230796542,267392130,1331215,0,93898,0,228177824,60846,40.19,5.2,129.0
1588,120,120288495,162322178,869454,0,25069,0,147277945,49190,40.25,4.98,129.0
1589,65,143102821,188740129,1154176,0,6031,0,124579805,38430,39.93,4.99,129.0
1590,67,115353309,123228593,828273,0,1392,0,122794287,39560,39.7,4.97,128.9
1591,119,130535987,152048348,844200,196608,2099,384,143750571,44911,39.78,5.34,129.0
1592,3752,149717845,191830617,1182124,0,29753,0,154814059,49130,39.92,5.24,129.0
1593,3291,249492237,298782860,1526492,0,67369,0,234140504,81334,39.82,5.06,129.0
1594,266,143886726,174412874,933829,0,3359,0,148728500,58506,39.72,4.99,128.9
1595,12,110155073,156809103,789931,0,1194,0,122255368,44312,39.65,4.96,128.9
1596,183,102160886,135476110,818276,139264,1071,272,90014048,34742,39.74,5.33,128.9
1597,5866,224181331,267983156,1664937,0,115669,0,226495139,74902,39.78,5.15,128.9
1598,854,124913818,161121827,897605,20598784,27574,40232,144831257,51446,39.73,5.23,128.9
1599,256,121736951,152698266,849853,0,12035,0,138343682,34547,39.87,5.18,128.8
1600,562,141920830,160719866,994283,0,2421,0,134644010,46768,39.9,5.08,128.7
1601,710,119993336,145480039,935824,425984,3375,832,120160381,45058,39.71,5.32,128.9
1602,4549,208556478,221771254,1355322,0,85929,0,173530112,57678,39.7,5.1,129.0
1603,593,156017083,219626998,1361753,0,27208,0,126767601,39384,39.78,5.22,129.0
1604,245,122941869,150932699,849168,0,2804,0,140329202,49618,39.93,5.05,129.0
1605,122,108014894,133812822,837994,0,3268,0,118801620,47636,39.8,4.98,128.9
1606,143,148074140,197791832,1023544,139264,1347,272,138035250,66929,39.71,5.25,129.0
1607,2685,183587670,231571772,1298207,0,83064,0,151646836,71553,39.78,5.18,129.1
1608,584,103780134,154283766,898003,0,17865,0,128033778,51755,39.98,5.22,129.1
1609,123,114832180,138671781,947002,28672,4024,56,90716351,39205,39.9,5.0,129.1
