,LLC-store-misses,bytes,LLC-load-misses,cycles,LLC-stores,ref-cycles,instructions,LLC-loads,blocks,pkg_pwr,ram_pwr,power
1176,6141,0,187812,358997250,139257,374484969,259051661,2921910,0,39.95,5.97,135.6
1177,2783,28672,149716,281596567,104142,329598057,213705995,2368380,56,39.94,5.87,135.2
1178,1725,110592,93534,205884080,98951,230347950,164025204,1883129,216,39.94,5.88,130.1
1179,4330,0,90456,494478893,233373,500565989,341799633,3800240,0,40.02,6.18,130.1
1180,11882,0,253107,384179880,179123,419362763,295643710,3083335,0,42.07,6.79,130.1
1181,9606,0,251554,381625148,172297,398716446,281520534,3162247,0,41.07,6.23,130.5
1182,8300,0,94874,327627507,158989,367758991,246833349,2922205,0,40.79,5.9,130.8
1183,2967,0,88651,412095081,195597,433069260,300212618,3466405,0,41.72,6.54,130.8
1184,5280,110592,166228,338543045,159767,398691405,236142438,3013046,216,41.77,6.61,131.0
1185,15956,0,222845,406327844,198075,433969789,301574033,3292045,0,41.31,5.86,131.4
1186,1483,0,94348,358357304,159413,366218466,254467159,2806963,0,41.74,6.38,131.4
1187,8582,0,86268,422533134,211010,497788817,305248099,3805173,0,42.08,6.72,131.5
1188,12243,0,272250,455307478,202087,489261874,327514711,3448185,0,40.59,5.82,131.9
1189,2394,110592,52027,374349725,151799,393215055,270413852,2968286,216,40.57,6.06,131.8
1190,4859,0,346075,427783166,185656,487792565,375815077,3644817,0,41.97,7.03,131.7
1191,12552,0,93867,325141256,137312,336837254,228416539,2825287,0,42.52,7.16,131.9
1192,12058,0,332108,460391255,204008,489499374,333163677,3908403,0,42.58,6.78,132.2
1193,5427,0,223315,274359419,89193,344195449,228971272,2508361,0,42.71,7.14,132.6
1194,11536,110592,215168,402526185,164006,415452272,283080900,3241990,216,42.46,7.15,133.0
1195,28952,0,265194,433631135,196439,437007251,335934322,2910897,0,43.1,6.88,133.2
1196,2162,0,311284,361633719,149219,408864948,258873793,3032313,0,42.68,6.99,133.5
1197,11926,0,93701,367204934,150708,379732290,245937013,2840727,0,43.16,6.94,133.6
1198,6279,17281024,252347,336440902,154830,355016301,241911769,2851041,33752,42.53,6.67,133.9
1199,12481,196608,129014,360521075,158941,365216347,246363386,2808215,384,42.72,7.25,134.0
1200,21165,0,368010,474419990,241406,514798140,372454053,3686726,0,42.76,6.57,134.2
1201,14961,0,137204,352719114,160244,363055695,259816793,2886601,0,42.84,7.03,134.2
1202,14365,0,149996,331121071,153668,356583371,243966417,2728430,0,42.16,7.25,134.4
1203,14945,114688,252848,386455209,165036,429936936,282377382,3097646,224,42.87,7.55,134.4
1204,10009,253952,214466,436555741,177824,491548779,321262137,3899626,496,42.45,7.11,134.6
1205,17413,0,314092,374563308,203058,416484263,294539035,3425022,0,42.53,7.92,134.7
1206,7796,0,306236,273271094,126207,335699738,217061835,2323385,0,42.88,7.34,134.9
1207,13123,0,200101,287759547,126554,323153452,219544608,2506070,0,42.49,7.09,135.2
1208,9641,57344,242747,388581850,169581,408985263,281415028,3243032,112,42.79,7.87,135.2
1209,12433,196608,222967,400806637,172570,407530875,271885102,3146434,384,42.55,7.35,135.3
1210,21027,0,483432,455838736,177170,495148651,361282132,3502093,0,42.55,7.12,135.4
1211,4858,0,307652,346342150,130906,407547541,262076992,2968998,0,42.88,7.82,135.4
1212,15804,0,369979,398525233,159411,460216300,298705471,3421614,0,42.42,7.19,135.6
1213,11396,0,81558,284520121,117550,292278167,200450243,2566829,0,42.38,7.53,135.5
1214,12313,196608,262229,485090738,211693,513643362,345716231,3962861,384,42.53,7.09,135.5
1215,25061,0,297489,382608843,176456,509363378,331199006,3621621,0,42.39,8.19,135.6
1216,15191,0,229396,275851822,128437,316854664,219046877,2283378,0,42.54,7.84,135.6
1217,23678,0,172491,453046790,193045,471326793,311763959,3563841,0,42.21,7.21,135.9
1218,13064,0,84724,304140550,130860,311907877,215297987,2540506,0,42.17,7.61,135.8
1219,3753,110592,304663,423044679,195416,477373153,322550319,3755034,216,42.12,8.12,135.7
1220,22669,0,425409,445326940,206953,474033136,323459988,3145271,0,43.06,8.06,135.8
1221,18973,0,338173,513848884,217580,553113126,381722299,3967925,0,42.38,7.45,136.0
1222,11833,0,231482,279623108,111639,328490250,218012081,2417472,0,42.49,7.49,136.0
1223,11162,0,265502,330748362,113904,368098193,255286186,2718225,0,41.93,7.95,136.0
1224,5963,110592,266199,358688646,174254,424500109,249011330,3260922,216,42.58,7.93,136.0
1225,33247,0,407864,468020467,201807,538543410,396560343,3998877,0,42.34,7.58,136.1
1226,12508,0,254307,426270237,184362,454929142,301988783,3303813,0,42.58,7.54,136.1
1227,7889,0,169495,346329523,160924,416724146,261507686,3038293,0,42.95,8.19,136.0
1228,14689,18427904,204035,367328580,147581,378163614,246741325,2953106,35992,41.37,7.35,136.1
1229,8261,196608,279904,324323839,115192,346127646,243654053,2579748,384,40.82,7.66,136.1
1230,9759,0,420552,412950084,155066,468342455,338933462,3735174,0,42.26,8.07,135.8
1231,20750,0,250463,332399748,125090,352318484,239996264,2671817,0,42.07,7.2,136.0
1232,5718,0,404612,387708817,143797,435548240,308911827,3204889,0,42.81,6.86,135.9
1233,10649,114688,205094,305846225,131196,355508785,217670928,2640343,224,42.7,6.66,135.8
1234,10949,253952,221507,520747131,218324,533776894,361631335,4147578,496,42.85,6.77,135.6
1235,19406,0,292656,387275080,183739,423117402,312838954,3079629,0,42.87,6.65,135.5
1236,8938,0,251413,424525804,149381,442945276,304877308,3163280,0,42.93,6.77,135.5
1237,5502,0,331846,423686726,160086,454728425,319501114,3315971,0,42.46,7.08,135.4
1238,7496,1536,200271,401217971,170105,425279926,284572664,3096941,3,42.26,8.13,135.3
1239,3648,173568,269465,355134153,159104,398407771,279639817,3126408,339,41.36,7.53,135.5
1240,14487,0,298165,354744214,199197,431131974,260837698,3274015,0,42.74,7.72,135.5
1241,5563,0,274493,255326281,68210,332334043,235986752,2415128,0,41.38,7.79,135.6
1242,17829,0,137191,701242278,368247,752811785,912534480,5320595,0,43.01,7.74,135.5
1243,8131,0,268717,375035752,161200,407253471,275497548,3143141,0,41.51,7.79,135.7
1244,16439,110592,187184,345066269,147945,383330356,264891247,2834393,216,42.92,7.67,135.7
1245,46116,0,470107,543355960,244080,571253999,413817628,4058937,0,41.72,7.87,135.9
1246,8756,0,228781,401966614,177882,428054058,294362430,3279606,0,42.32,7.4,135.8
1247,15249,0,284981,372712974,140792,453576069,294895800,3196269,0,42.29,7.47,135.9
1248,7874,0,249318,349644099,161988,397871640,276622312,2971630,0,42.32,7.43,135.8
1249,10467,110592,48334,254240261,116181,280558797,180895268,2217293,216,42.87,7.54,135.8
1250,19432,0,457833,507161571,209302,558467282,404535908,4043791,0,42.64,7.6,135.9
1251,10310,0,182220,362834129,157861,429942662,283529031,3382395,0,42.46,7.45,135.9
1252,12895,0,168087,406362233,184877,450238883,302885156,3477803,0,42.78,7.55,135.9
1253,4158,0,265984,353563009,154819,416313949,261455131,3250053,0,43.06,7.31,135.9
1254,3204,110592,321237,290037982,128916,379519011,231505911,2775096,216,42.92,7.23,135.9
1255,16850,0,263136,418027471,197165,433094786,327654806,3207063,0,43.03,7.32,135.9
1256,7693,0,255300,382489798,171319,411815427,291705005,3384212,0,43.17,7.33,136.0
1257,10384,0,198588,450972297,210609,480907120,322043382,3785841,0,42.92,6.97,135.9
1258,9406,0,174195,200824684,100384,296872510,161736746,1930671,0,42.84,6.9,135.9
1259,9314,18165760,156497,361283982,160806,377090931,256795043,2836126,35480,42.92,6.79,135.8
1260,13286,0,399030,457036598,199908,529318943,373275152,3647630,0,42.25,7.07,135.8
1261,15948,0,226641,446630005,203264,505201462,338828837,3654732,0,41.49,6.2,135.7
1262,3330,0,194859,393683470,174096,407266598,270888530,3075857,0,41.38,5.91,135.3
1263,1523,0,135615,325006649,158507,406700418,256664443,3064919,0,42.26,6.84,134.9
1264,10607,425984,155915,351435697,135516,371052410,245417684,2847049,832,41.51,6.27,134.7
1265,15331,0,298718,307912594,159799,329947180,259182467,2474132,0,41.16,6.07,134.6
1266,4034,253952,124026,460233257,225338,497105718,333841104,3820132,496,42.12,6.72,134.2
1267,9785,0,90215,462121436,203355,485795998,332494296,3828818,0,41.46,6.13,134.1
1268,4044,0,70106,288866701,132322,316319012,217002061,2501373,0,41.15,5.8,134.0
1269,2105,28672,113799,468725501,224949,514709120,344484648,4138399,56,42.04,6.86,133.6
1270,16653,0,406748,503177114,231163,563889067,408200017,3799702,0,41.45,6.63,133.6
1271,11861,253952,281925,398768664,189384,427144185,317817666,3114177,496,40.51,5.82,133.7
1272,7990,745472,97342,364430286,176450,424727023,285227078,3368715,1456,40.48,5.76,133.3
1273,3157,0,114338,374117520,143128,390224899,284134970,3160958,0,42.51,7.12,133.0
1274,3971,0,260204,438201376,176362,478148924,340200167,3473987,0,42.41,7.34,133.1
1275,11069,0,386350,354188122,118654,458366871,330319363,3502854,0,42.53,7.0,133.3
